kk,kv,s,sv,c1,c1v,c2,c2v,g,gv,d1,d1v,d1p,d1pp,d2,d2v,d2p,d2pp,d3,d3v,d3p,d3pp,d4,d4v,d4p,d5,d5v,d5p,d6,d6v,d6p,d7,d7v,d7p,d8,d8v,d8p,d9,d9v,d9p,d10,d10v,d10p,d11,d11v,d11p
0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0
